이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
흰 족제비 양에게 죽음을!,kakaopage,개바시,upu,로판,완결,완결,139.4만,10.0,78,3,3일,"로맨스판타지,여주판타지,수인물,순정남,왕족/귀족,드라마","'천 년을 기다렸다 족제비로'한 나라를 멸망시킨 왕녀, 레오노엘그 죄로 영생의 형벌을 받는다사람이 아닌… 족제비의 몸으로그렇게 숲에서 은신하며천년이란 세월을 흘려보내던 어느 날족제비인 자신의 말을 알아듣는한 소년이 나타난다심지어 그 소년은,꿈에 그리던 첫사랑이라며 고백까지 해오는데하지만 천 년 동안 연애 세포가싹 다 메말라 버린 레오노엘은…'천 년 만에, 드디어 죽을 수 있겠어'오직 이 순진무구한 소년을 이용할 생각 뿐이다천재 마도사지만 족제비가 되어버린 왕녀 레오노엘과동경하던 역사책 속 인물과 사랑에 빠져버린 성공한 덕후 소아즈의우당탕탕 저주 풀기 대모험",https://page.kakao.com/content/59763158
흑화를 막는건 연애뿐,kakaopage,,,드라마,휴재,휴재,"4,467",10.0,93,0,,동양풍,"어느 날, 평범한 여고생이 게임 속 10살 여자 아이가 된다그런데… 게임 속에서 늘 마지막 순간마다 자신을 죽였던 섭정왕이 공략대상이라고?섭정왕을 공략하려면 어릴때 부터 해야지 아직 권력이 없는 어린이와 친해져야만 해하지만 그의 팽팽한 적개심에 험난한 미래가 그려지는데…",https://page.kakao.com/content/61176269
황후궁 체대생,kakaopage,팀넋부랑,팀넋부랑,로판,휴재,휴재,386.3만,9.9,115,3,1일,"로맨스판타지,궁정로맨스,빙의물,까칠남,바람둥이,츤데레남,동정남,엉뚱발랄녀,걸크러쉬,능글녀,털털녀,여공남수,로맨틱코미디","[미남밝힘증 체대생, 황후가 되어버리다]바람둥이, 미남밝힘증, 희롱과 솔직 사이에 아슬하게 걸친 노골적 말투까지체대생 장학생 신해설은 가부장적 관점에서 본다면 뒷목을 잡고 넘어가기 딱 좋은, 그런 여자다그런데 웬걸 어느 날 눈을 떠보니 처음 듣는 나라의 황후가 되어버렸다?'황후'로서 뭇 여인들에게 모범을 보이기 위해 얌전, 고상, 우아, 품위, 인내 등등을 요구 받는 생활이혼 청구도 못 할 남편이란 놈에게는 후궁들이 득실거리는데,암살자란 놈들은 죽어라고 달려드니 이걸 어째하지만 하늘이 무너져도 솟아날 구멍은 있는 법끊임없이 암살자를 보내던 배후는 해설에게 제안한다황족들을 죽이면 본래의 세상으로 돌려보내 주겠노라고",https://page.kakao.com/content/58513846
곤륜마협,kakaopage,왜가리둥지,우유사선,무협,완결,완결,421.9만,9.8,51,3,1일,,"교주인 아버지가 장수하는 바람에 마교의 소교주 노릇만 백 년 동안 한 진천마(眞天魔)욕심도 없던 교주 자리는 겨우 1년만 채우고 죽고 만다그런데 눈을 떠보니 갓난아이라고?길바닥에 버려져 있던 그를 데려간 이는 심지어 정파 중의 정파, 곤륜의 도사였다그리하여 그는 정 자 배의 막내 제자, 정광(精光)이 된다자연사했으니 원한 따윈 없고피 냄새 대신 사람 냄새 나는, 따뜻한 관계로 엮인 생활이 궁금했으니 만족스럽긴 한데물이 너무 맑으면 물고기가 살 수 없는 법, 세속의 때가 필요했다전생에서는 교주인 아버지의 뒤치다꺼리만 하느라 본인의 삶을 즐기지 못했는데,이번에는 그 자신을 위해 살아야 하지 않겠나하지만 당장은 어린아이곤륜에게 정도 들었겠다, 떠나기 전에 최소한 걱정 없이 해놓아야지그의 활약 아래 곤륜은 점점 바뀌어간다도(道)?알 바 아니다마(魔)?좀 지겹다다시 태어난 진천마의 파란만장한 무림 이야기",https://page.kakao.com/content/60077993
죽지 않는 엑스트라,kakaopage,ELDO,"스튜디오 질풍, Tetsubi Meguri",판타지,완결,완결,207.1만,9.7,61,4,1일,"게임,라이트노벨,퓨전,환생,하렘,빙의,시스템,영지,성장,착각,왕족/귀족,플레이어","공전의 히트를 친 게임 『요마대전 3』에는갖가지 방식으로 항상 죽음을 맞이하는 엑스트라가 있다게임속에서 활약이라곤, 코딱지만큼도 없는 주제에사망씬마다 전용 CG까지 달려 있는,제작진의 사랑을 독차지한 이 엑스트라의 이름은 ""에반 디 셰어든""……이것이 바로 이 게임 속 세상에 환생한 내가 갖게 된 이름이었다 젠장주인공도 아닌 매번 죽는 엑스트라로 환생한 나이대로 죽을 순 없어어떻게든, 무슨 수를 써서든,살아남아야 한다나는 죽지 않는 엑스트라가 되겠어",https://page.kakao.com/content/60321908
남주의 입양딸이 되었습니다,kakaopage,또나,또나,로판,연재중,토,"3,350만",10.0,91,4,3시간,"로맨스판타지,육아물,가족물,우연한만남,능력남,나쁜남자,까칠남,다정남,능력녀,자상녀,엉뚱발랄녀,털털녀,다정녀,달달물,힐링물","“아이를 입양한다”어느 날 갑자기 떨어진 북부의 주인 보레오티의 폭탄 발언그리고 기적처럼 만난 “검은색”을 지닌 아이그런데…“근☆육이 제일 좋아~ ☆불끈불끈☆ 모여라~ ٩(๑˃́ꇴ˂̀๑)۶”“이두근 (ง˙∇˙)ว, 삼두근 (ง˙∇˙) ง”“흉근 복근 짜릿해 ദ്ദി ˉ͈̀꒳ˉ͈́ )✧”“…주군, 저희 애들은 저 정도까지는 아니었습니다만”아니다 우리 애가 얼마나 똑똑한데 일곱 살인데 어려운 말도 많이 알고, 책도 빨리 읽고, 배짱도 있고… 너네 우리 딸이 구운 쿠키 먹어봤나? 아무튼 재능이 넘쳐난단 말이다 우리 딸은 천재야 얼굴도 날 닮아서 요즘 부쩍 미모가 꽃을 피우고 있지 벌써부터 두려울 정도다 이 내가 말이지……그래, 인정한다 내 딸은 변태다#이런 조합 #앞으로도 없다#세상에서 제일 잘난 최강 아빠 #동심이 부패한(?) 애늙은이 딸 #대환장 #티키타카",https://page.kakao.com/content/57616627
콜사인,kakaopage,조석호,임강혁,드라마,시즌 휴재,토,539.8만,9.9,90,3,3일,"일상물,현대물,힐링물,성장물,소방관,고퀄리티,두근거리는,스릴 넘치는,이야기중심","이기적인 세상에 이타적인 사람들이 있기도 하다“사람 목숨만큼 귀한 건 없다…… 아닙니까?”“물론 그렇지 그런데 한 사람을 구한다는 의미를 알아?”“무슨 말씀이신지?”태건이 고개를 갸웃거리자 이채용 팀장이 빙그레 웃었다 “한 사람을 구하면, 나아가 그 사람 가족을 구하는 거야” “네?”“그 사람이 죽었다면 가족들 그리고 지인들 미래는 어쩌겠니?” 그 몇 마디가 태건의 인생을 바꿨다우리가 사는 오늘은, 어제 죽은 누군가가 갈망한 내일이다 목숨을 걸고 타인의 생명을 그리고 삶의 스토리를 이어갈 수 있게 한다면?결코 돈으로도 살 수 없는 보람이다 콜사인살려달란 소리에 반사적으로 움직일 수 있는 원동력이다",https://page.kakao.com/content/58503976
빙상매화,kakaopage,조병연,상황이급한데,무협,완결,완결,143.6만,9.7,72,3,1일,"무림,성장,복수,생존,천재,정통,퓨전,격투,정파,검,화산","“얼음 위에 푸른 매화를 피우리라”청성과 사파의 결탁으로 하루아침에 무너지게 된 화산장문인 ‘이선’은 후지기수인 ‘천비’에게 무공비급을 맡기고, 그를 탈출시킨다천비는 추격을 따돌리고 북해로 도망치는데 성공하지만 큰 부상을 입게 된다극심한 부상과 북해의 환경으로 인해, 무공의 근간이 되던 양기를 모두 잃고 마는 천비절망하던 그의 앞에 북해의 주인 ‘백소유’가 나타난다천비가 가진 무극지체를 단번에 알아본 백소유는 후계를 위해 천비를 지아비로 삼게 된다천비는 백소유에게 음기를 사용하는 만빙설검을 배우며, 화산파를 재건하기로 마음먹는다",https://page.kakao.com/content/61359260
멸수라전,kakaopage,TACENGSHISHAONIAN,BEN T,무협,휴재,휴재,9.6만,9.2,94,5,1일,"노력,무림,생존,성장",태자가 아비를 죽이고 황위를 찬탈하여 온 나라가 대혼란에 빠졌다 보잘 것 없는 거지 출신 서한 세상을 구하기 위해 살수 집단 삼라전을 배신하고 요괴와 악인을 도륙해나간다 우정과 로맨스가 꽃피는 짜릿한 천하 뒤집기 한판극,https://page.kakao.com/content/59856772
상제강림,kakaopage,청산X대당X미사,청산X대당X미사,무협,완결,완결,246.6만,9.3,179,4,2일,"퓨전,고인물,깽판,먼치킨,복수,빙의,천재,명문세가","사방신역의 천제 소범은 믿었던 형제에게 배신당해 죽음을 맞이한다 그렇게 모든 게 끝난 줄만 알았던 때에, 현무대륙의 '소범'이라는 소년의 몸에 빙의된다힘이 모든 것인 무가의 자녀였지만, 수행 도중 암습을 받아 폐인이 된 아이었다 소범이 폐인의 몸을 되살리려고 하는 그 때, 그는 몸속에 자신과 함께 빙의 된 신수의 영핵을 발견해 흡수하게 된다 그 영핵은 모든 것을 삼키는 힘을 가지고 있었고, 물건이 가진 속성도 흡수해서 자신의 힘으로 삼을 수 있었는데 소범은 과연 이 힘으로 새로운 세상에서 전생에 이루지 못한 더 높은 경지에 도달할 수 있을까?",https://page.kakao.com/content/56526211
제물 황녀님,kakaopage,다흰,다흰,로판,완결,완결,395.4만,9.9,87,2,1일,"로맨스판타지,궁정로맨스,여주판타지,초월적존재,소유욕/독점욕,상처녀","[고대신 라베인의 계약자가 된 황녀 루디스의 인생 역전기]""평생 쓸모없던 네가 우리에게 도움이 될 유일한 길이다""사생아이자, 절름발이라는 이유로 평생 아버지에게 학대를 당했던 황녀 루디스그녀는 위기에 빠진 제국을 구한다는 명목으로 고대신의 제물로 바쳐진다그런데, 이대로 죽는 줄만 알았던 그녀 앞에 낯선 남자가 다가오는데""네 소원이 무엇이지?""밤하늘과 같은 흑발에 별보다 도드라지는 황금색 눈동자루디스는 점점 짙어지는 그의 존재감에 숨쉬기조차 어려웠다""제가 어떤 소원을 빌어야 하는지 잘 모르겠어요""""무엇이든, 네가 원하는 건 뭐든 말해봐 그것을 위해 오천 년을 기다렸으니까""고대신 라베인의 계약자가 된 황녀 루디스의 인생 역전기",https://page.kakao.com/content/58922775
사내 스토킹을 금지합니다,kakaopage,오마토,김효림,로맨스,완결,완결,484만,9.8,77,4,3일,"현대로맨스,오피스물,사내연애,까칠남,순정남,재벌남,외유내강,엉뚱발랄녀,평범녀,계약관계,갑을관계,삼각관계,달달물,로맨틱코미디","“―그러므로, 우리 회사 내의 스토킹을 금지합니다”SA 컴퍼니 대표 박시안188cm의 큰 키, 연예인 어퍼컷 치는 외모 추정 자산 XXXX억 원 현실 재벌 3세그런 그가 최근 악질적인 스토킹에 시달리고 있다유력한 범인은 같은 회사 지원팀 직원인 예다민토끼처럼 동그란 눈에, 먹이사슬 최하위에 위치할 것만 같은 그녀가 정말 시안의 스토커일까?의심과 오해와 오류로 가득 찬 두 사람의 관계은밀한 스토커 검거 작전이 시작된다사내 스토킹을 금지합니다 ⓒ오마토,김효림(원작:문채아)/학산문화사",https://page.kakao.com/content/58283716
무패의 랭커,kakaopage,,홍덕화,판타지,휴재,휴재,283.7만,9.4,80,3,7일,,"32년 전 심판의 날갑작스럽게 나타난 몬스터들에 의해 인류는 멸종 직전까지 몰리게 된다 하지만 독특한 능력을 사용하는 이능력자들이 각성하며 싸움은 새로운 국면을 맞이하고 치열한 전투 끝에 잃어버린 땅을 되찾는다살아남은 몬스터들은 전세계 곳곳에 던전을 형성하며 인간을 위협하고,인류는 제2의 참극을 막기 위해 주식회사 ‘칸’에선 로스트 시티라는 가상현실 게임을 개발해 헌터들을 육성하기 시작한다로스트시티에서 무패의 기록을 가진 랭커 권진수여동생 권수아를 위해 헌터가 된 그는 고유능력으로 나타난 애플과 함께 던전을 정복해 나간다그러다 마침내, 오랫동안 찾아 헤매던 케네스를 만나 이세계에 숨겨진 비밀들에 대해 듣게 되는데… -나에게 패배란 없다-내 가족을 해치는 자, 누구도 용서치 않으리라그림: 홍덕화  원작: 메슬로우  각색: 장담  보조: 한상아  제작: 조인코믹스",https://page.kakao.com/content/57999997
주인공들의 파혼을 막으려 했을 뿐인데,kakaopage,금굼비,로모하,로판,완결,완결,5.2만,10.0,40,3,,"로맨스판타지,착각물,메디컬물,빙의물,상처남,소유욕/독점욕,츤데레남,냉정남,능력녀,걸크러쉬,라이벌/앙숙,경쟁구도,쌍방삽질,달달물,계약관계","삽질과 오해로 가득한 로판 소설 속, 남주의 여동생으로 빙의했다소설 속에 떨어진 나는 답답했던 주인공 커플들을 위해 발 벗고 나서서 이어주었는데,약혼식 날 주인공들이 파혼을 선언해버렸다그리고 그 중심에 있는 건 여주인공의 오빠, ‘아이베르크 라파엘로’였다괴물 공작, 아이베르크는 상당한 ‘시스콤’이었으니……‘시스콤’을 없애기 위해서는 이성만 한 건 없겠지?“공작님의 이상형은 어떻게 되나요?”“타오르는 불을 닮은 붉은 머리와 눈을 가졌으며, 제 앞에 누가 있든 간에 기죽지 않는 여자 아아, 이렇게 말하고 보니…… 그대가 내 이상형을 닮았어”주인공들의 파혼을 막으려 했을 뿐인데,나도 모르는 사이 여주인공의 오빠를 꼬셔버린 걸까?",https://page.kakao.com/content/61062540
황태자의 약혼녀,kakaopage,,파가라가,로판,시즌 휴재,화,731.5만,9.9,51,4,1일,"로맨스판타지,착각물,우연한만남,까칠남,나쁜남자,카리스마남,능력남,무심남,외유내강,평범녀,털털녀,계약관계,로맨틱코미디,개그물","일개 황궁 시녀였던 내가 우연히 들어 버린 황태자의 비밀도망친 황태자의 약혼녀가 사실은 남자였다?“살려 주세요 뭐든 다 할게요”“뭐든?”살기 위해 했던 그 대답,뭐든지 다 하겠다는 약속으로 인해 불행이 시작되었다“그럼 너로 하자”“뭘 해요?”“내 약혼녀”살해당할 위기에서 벗어날 방법은 단 하나내가 황태자의 약혼녀인 척하라고?“2주 후 파티만 무사히 치르면 살려 줄게”황태자의 그 말만 믿고 열심히 버텼다그렇게 무사히 무도회를 치렀는데……왜 놓아준다는 말이 없지?“이제 그분도 돌아오실 테니 전 떠나야겠죠”“누구 마음대로?”나는 그저 대역인 줄로만 알았는데“넌 아무 데도 못 가 이제 내 약혼녀는 너뿐이니까”얘기가… 왜 그렇게 흘러가는 거죠?그저 어떻게든 살아남기 위해 몸부림쳤을 뿐인데…황태자의 마음에 스며들어버렸다?아티엔느의 달콤살벌한 황궁에서 살아남기**************************[표지 및 타이틀 로고 디자인] 디자인그룹 헌드레드**************************웹툰 [황태자의 약혼녀]는 매주 화요일, 주1회 연재됩니다",https://page.kakao.com/content/60511921
용사고교 던전공략과,kakaopage,문식,주타마,액션,휴재,휴재,644.5만,9.9,45,3,1일,"퓨전,격투,먼치킨,성장,천재,학원,학생","이세계와 융합된 21세기의 지구몬스터들이 들끓는 '던전'과 던전을 공략하는 '모험가'들의 시대그리고, 그런 모험가들을 육성하는대한민국 최고의 엘리트 교육기관 '용사고교'과거 아시아 최고의 모험가라 불리웠던, 하지만 지금은 누명을 쓰고 몰락한 아버지의 병을 고치기 위해던전 밀수업을 하던 소년 유자룡은 한 소녀를 마주친다""너, 용사고교에 들어와라""자신의 출신을 숨기고, 꿈을 잊고 있던 소년이마침내 자신을 되찾는 이야기",https://page.kakao.com/content/60355768
CD와의 동거,kakaopage,,Kumenatuo,로맨스,완결,완결,"1,777",10.0,62,3,,"드라마,로맨틱코미디,힐링물,재회물,현대로맨스,착각물,가족물,짝사랑,첫사랑,순정남",미소년이었지만 지금은 미소녀가 된 이하늘과 재회하게 된 권진우 신비한 분위기를 풍기는 이하늘에게 연애에 소심한 진우는 하루하루 휘둘려만 간다 흥미진진하지만 조금은 위험한 연애 스토리,https://page.kakao.com/content/61795932
누가 우리 오빠들좀 말려주세요,kakaopage,,Hotokenoza,로판,일시적 휴재,토,476.1만,9.8,59,3,1일,"로맨스판타지,성장물,가상시대물,가족물,여주판타지,능력남,능력녀","집 앞에서 벌어진 소란을 잠재우러 갔을 뿐인데내가 응징한 건 마왕이었고,운 나쁘게도 내가 마왕이라는 누명을 쓰는 바람에 토벌단에게 죽고 말았다 ‘혼쭐을 내 주마, 파멜 아시노프 두 눈에서 눈물을 펑펑 흘리게 해 주지’그 중에서도 제일 나쁜 놈은나를 마왕으로 몰아 죽인 영웅 파멜 아시노프하지만 복수를 다짐한 게 무색하게도 눈을 뜨니, 500년 후 이미 파멜은 죽은 지 오래인데다, 어느 날 찾아온 ‘오빠들'은“보라색 눈동자 그건 아무나 가질 수 있는 색이 아닙니다”“하지만 전 처음부터 이랬어요”“그렇겠지요 당신은 아시노프 대공의 손녀니까요”“아시노프 대공의 손녀요?”하필이면 내가 ‘그’ 아시노프의 딸이라고?평온한 삶인 건 좋은데 원수의 핏줄로 태어나버렸다‘이 집 형제들은 전부 사람을 덥석덥석 안아드는 습관이 있네’이놈의 집구석 미워해야 하는데 어째서 자꾸만 정이 드는거지?",https://page.kakao.com/content/60961942
전신의 강림,kakaopage,,"투니야, HT스튜디오",액션,휴재,휴재,106.2만,9.0,40,4,1일,"차원이동,퓨전,귀환,깽판,영웅/신화,이능력,초능력","봉인되었던 신화와 전설이 다시 현실로 돌아왔다모든 신(神)과 용(龍)이 해방되고, 마(魔)와 귀(鬼)가 다시 들어온 세계인간의 각성영웅의 등장 새로운 신화시대가 열렸다 이 이야기는 새로운 신화시대를 살아가는 이 시대 영웅들의 전쟁과 사랑에 대한 서사(序詞)다, 혹은 새로운 신화일지도",https://page.kakao.com/content/60910195
아이딘,kakaopage,강주연(악어스튜디오),숨나비(악어스튜디오),로판,완결,완결,912.2만,9.9,87,3,3일,"궁정로맨스,로맨스판타지,먼치킨,복수물,회귀물,다정남,순정남,능력남,대형견남,능력녀,자상녀,걸크러쉬,사이다녀,드라마,우월녀",공작가의 영애이자 황제의 직속 암살단인 ‘부엉이’의 단장 아이딘자신의 주군인 레이몬드에게 기만당해 모든 죄를 뒤집어 쓴 채 처형당하고 만다 5년 전으로 회귀한 그녀는 그에게 복수를 다짐하며 페르디 제국을 무너뜨리기로 결심하고 적국인 젤디온에 화친의 목적으로 가게 되지만 그곳에서 뜻밖의 운명이 뒤틀리고 마는데,https://page.kakao.com/content/56017555
삼국지 여포전,kakaopage,"EVO, COBY",BOHA,무협,완결,완결,805.6만,9.9,85,3,1일,"정통,고인물,귀환,먼치킨,무림,전쟁,천재,환생,회귀,검,군인,권,망나니,지존,창","삼국지천하를 웅패하고자 영웅들이 난무하던 시대최고의 무장 여포는 한순간의 실수로 역사의 뒤안길로 사라졌다삶의 마지막 순간,""내게 단 한번만 더 기회를 준다면 천하를 웅패하리라""눈을 떴을 때, 여포는 혈기왕성하던 이십 대로 돌아와 있었다시간을 거슬러 돌아온 여포그의 파란만장한 천하웅패기가 이제 펼쳐진다#삼국지 #여포 #회귀 #먼치킨 #전쟁 #화려한 액션",https://page.kakao.com/content/56941637
꽃에게 복종하세요,kakaopage,,솜송,로판,완결,완결,113.6만,9.8,53,3,1일,"빙의물,수인물,계약관계,로맨스판타지,피폐물,복수물,능글남,계략녀","광기에 빠진 남자 주인공에게 잔혹하게 죽임 당하는 악녀에 빙의됐다 마수인 그를 길들이고 여자 주인공과 연결시키는 것이 살아남는 유일한 방법 저 속을 알 수 없는 잔인하고 매혹적인 마수로부터 나의 계획은 성공할 수 있을까? 그러나 나를 바라보는 마수의 눈빛이 점점 변해간다“약속했지”“내가 인간으로 변하면, 네가 내 암컷이 되겠다고” 그 어느 때보다 진지한 그의 말과 나를 품속에 가둬 둔 단단하고 뜨거운 가슴에 나 또한 마음이 흔들린다 ‘흔들리면 안 돼, 플로리아 이건 계약 결혼일 뿐이야’",https://page.kakao.com/content/61593932
알레사의 프릴,kakaopage,뽀리삐,뽀리삐,로판,시즌 휴재,토,57.9만,9.9,26,27,,"로맨스판타지,타임슬립,복수물,짝사랑,왕족/귀족,까칠남,걸크러쉬,능력녀,계약관계,쌍방삽질,로맨틱코미디","""내 모든 걸 부숴버린 반란군, 반드시 대가를 치르게 하겠어""반란군에게 부모와 고향을 잃고 복수만을 위해 살아가던 알레사반란군의 주모자인 황후 플레리아를 체포하던 중,그녀가 칼에 찔리면서갑자기 10년 전, 자신의 스승 지크벨이 살해당한 날로 회귀한다이는 라트신의 뜻이다과거를 바꿔 지크벨을 구하고, 반란군을 처단하라는그런데 무언가 잘못됐다어째서 플레리아의 목소리가 머릿속에 들리지?""꺄 알레사님 너무 멋있어 퍼펙트 엘레강스 고져스"" 심지어 그녀가 내 골수팬이라고?""설마… 지금 내 생각도 들리는 건가?""두 번의 회귀, 머릿속에 들리는 서로의 속마음모든 건 플레리아와 연관이 있다엉뚱하고 해맑은 이 소녀는 원수인 걸까, 아니면 운명인 걸까?아이돌 기사 알레사와 그녀의 골수팬 플레리아의과거를 바꿔 미래를 지키는 유쾌 발랄 비밀 대작전",https://page.kakao.com/content/60976739
도굴왕,kakaopage,윤쓰(REDICE STUDIO),쓰리비투에스,판타지,완결,완결,2.6억,9.9,412,21,3시간,"복수,귀환,먼치킨,천재,고인물,이능력","현대에 출몰한 신의 무덤유물로 영웅의 능력을 쓰게 된 사람들, 부를 얻게 된 사람들그리고 그 유물을 털어가는 의문의 도굴꾼이 나타났다도굴왕""아이씨, 미치겠네 여기도 또 그자식이 다 털어 갔냐""네 것도 내 것 내 건 당연히 내 것다시 살아난 도굴꾼, 그가 세상 모든 무덤을 접수하기 시작한다",https://page.kakao.com/content/53190884
재벌가의 아내가 되었다,kakaopage,"Jiman, YY","Jiman, YY",로맨스,일시적 휴재,토,1.3만,10.0,66,3,,,반기는 사람 하나 없는 집에서 하루라도 빨리 벗어나기 위한 소연은 졸업 후 남자친구와 결혼을 하게 된다 그런데 이게 웬일언니의 것이라면 모든 걸 빼앗고 싶어하는 소연의 배다른 동생인 사라는 형부까지 빼앗고 그녀를 정신병원에 감금시킨다,https://page.kakao.com/content/61488071
무적검역,kakaopage,소명태극,소명태극,무협,휴재,휴재,77.9만,8.9,115,5,2일,"노력,먼치킨,무림,성장","단전이 파괴되고 잡역 제자로 강등당한 양무선,폐물취급을 받던 그는 힘을 되찾게 된다게다가 오행현기 중 가장 강력하다는금 속성 현기까지 다루게 되는데…""여지껏 받은 수모를 갚아주마""최강자가 된 양무선의 통쾌한 복수극이 시작된다",https://page.kakao.com/content/57440207
죽음을 먹는 사랑,kakaopage,어둑시니,어둑시니,드라마,완결,완결,30.4만,9.8,63,3,3일,"호러,현대물,스릴러,연쇄살인,조직/암흑가,가족,짝사랑,기묘한,무서운,스릴 넘치는,이야기중심","""어느 날 거실에 아내의 시신이 담긴 캐리어를 발견하게 되는 주혁누가 봐도 범인이 자신으로 의심되는 상황 위험하다그리고 집안에는 문화재청에서 주시하고 있는 모작 작품이 다수 보관되어 있다아내를 여기서 몰래 옮겨야만 한다 대체 누가 이런 짓을 한 걸까?아내를 사랑하지 않는다고 생각했는데 가슴이 미어지는 이 고통의 감정은 무엇일까?범죄 스릴러 작가 선주는 자신의 소설 주인공을 고민하던 중 캐리어를 들고 좁은 골목 뒷길을 뛰어가던 주혁을 보게 되고 이 남자를 자신의 운명이라고 믿으며 그의 곁을 맴돌며 점점 가까워지기 시작한다모작 밀거래 수사중 약혼자 및 동료들을 잃은 임유아 형사는 계속 사건을 파헤치며 400억이 넘는 모작 작품 뒤에 두 국제범죄조직이 크게 얽혀 있음을 알게 된다 그리고 그 중심에 모작을 그린 주혁이 있음을 알게 된다 수 백억원 대의 그림을 둘러싼 치열한 두 조직 간의 항쟁 속에서 주혁은 아내를 죽인 진짜 배후를 찾을 수 있을 것인가?""",https://page.kakao.com/content/59465499
"은의 공녀, 까마귀 공녀",kakaopage,성현,성현,로판,완결,완결,1.3만,10.0,92,3,,"로맨스판타지,먼치킨,성장물,소유욕/독점욕,왕족/귀족,상처남,무심녀,외유내강,털털녀","[얼굴밝힘증 공녀, 거부할 수 없는 미인에게 반하다?]예쁜 게 최고야, 항상 짜릿해 얼굴밝힘증 공녀, 거부할 수 없는 미인에게 반하다?테이안 제국에서 예전부터 불길한 징조로 알려져 온 흑발에 흑안까지 갖추고 태어난 공녀 에블린 라 로이시테제국 2대 명문가인 로이시테 가문의 둘도 없이 귀한 영애로 자라났지만 그 탓에 사교계에서는 왕따 신세이다 하지만 전혀 아랑곳하지 않고 밝고 발랄하고 특별한 성격으로 가족의 사랑을 독차지하던 그녀에게 드디어 찾아온 데뷔탕트 날 로이시테 가문의 라이벌 카사블랑카 공작가 동갑내기 영애 앙시안과 함께 황제가 주최한 데뷔탕트 파티에 참석한 그녀는, 눈을 의심할 정도로 아름다운 존재를 보고 경악하고 마는데에블린의 심각한 고질병은 바로 얼굴밝힘증 얼굴만 예쁘면 상대가 누구든 사족을 못 쓰는 그녀가 빠져 버린 존재의 비밀은? 편견이 가득한 제국을 벗어나 미소녀 용병단의 단장이 된 에블린의 눈앞에 운명적으로 다시 나타난 미인의 황당한 요구사항은? 그리고 이 모든 뒤얽힌 운명의 엔딩씬은?아무도 못 말리는 얼빠 공녀의 본격 어드벤처 로맨스이제는 웹툰으로",https://page.kakao.com/content/61070015
신조협려,kakaopage,김용,황옥랑,무협,완결,완결,87.9만,10.0,172,3,1일,,"정이란 무엇이길래 사람의 생사를 가름하느뇨?김용의 무협소설 대표작 중 하나인 통칭 '사조삼부곡'의 두번째 편인 신조협려,신조협려 본작은 한국에서는 영웅문 시리즈 2부로 출간되었고 이후에도 김영사 등에서 복각판이나오기도 했던 인기 무협소설이다전작 사조영웅전에서 이어지는 이야기로, 사조영웅전의 주인공 곽정이나 천하오절 등 다른 인물들 대다수가 이어서 등장하며, 본작의 주인공 양과는 나름 박복한 삶과 함께 뜨거운 정열이나 격정적인 모습 등등여러가지 모습을 지니고 있는 입체적인 반항아 캐릭터로 그의 성장이 신조협려의 중심 스토리 라인이 된다그리고 주인공 양과와 히로인 소용녀 와의 연애노선도 뚜렷한 재미가 있고, '정화' 같은 인상 깊은 아이템의 등장으로 드라마틱한 반전이 여러가지 나오는 등,사조영웅전의 진득하고 중후한 이야기와 차별되는 화려한 이야기로 재미와 인기를 모은 작품이다해서, 본작은 단순한 무협소설이 아니라 연애소설로의 가치도 높이 평가받으며, 홍콩이나 대만 등 중국문화권에서의 평가도 높아 여러번 영화나 드라마로만들어지기도 하였다 특히 유덕화가 주인공 양과를 맡았던 80년대 홍콩 드라마판 신조협려는중국 드라마 매니아들 사이에서 지명도와 평가가 높기도 하다",https://page.kakao.com/content/50201945
신무천존,kakaopage,,,무협,연재중,토,143만,9.8,333,5,2일,"노력,먼치킨,무림,복수,빙의,생존,성장,천재,환생,검,지존","천계의 9대 지존이었던 이 몸이신통경에 오를 자질을 갖고 태어난 육체에 빙의했다그렇다면 온 우주를 호령할 지존이 되는 건 시간 문제""이제 이 세상의 주인은 나다""",https://page.kakao.com/content/56792335
당신의 마법사입니다,kakaopage,양념갈비,전오랑,로판,완결,완결,28.9만,9.0,70,2,1일,,"미래를 볼 수 있는 예지자 리예, 그리고 얼음 마법사 타나릴타나릴과 하룻밤을 보내게 된 리예는 그의 아이를 갖게 되고 둘은 계약 결혼을 하게 된다'진심으로 사랑에 빠지지 말 것'하지만 둘은 운명에 이끌려 점점 서로를 바라보게 되는데……뒤섞인 그들의 시선 속에, 리예가 본 미래가 다가온다",https://page.kakao.com/content/59603464
